Step,Avg,Std,Share0,Share1,Share2,Share3,Gini,Velocity,PeerEvents,TaxSignal,CI95
0,0.28973,0.006399834610436093,0.7041666666666666,0.29233333333333333,0.0035000000000000005,0.0,0.2185741209137678,0.047630000000000026,107.6,0.004421198296992464,0.002804851185803434
1,0.30473333333333336,0.011322678169747335,0.6703333333333333,0.30883333333333335,0.020833333333333336,0.0,0.23501977781684258,0.015003333333333327,147.45,0.023715544448472507,0.004962382502681957
2,0.3225733333333333,0.01452329284589825,0.6155,0.35883333333333334,0.025500000000000002,0.0001666666666666667,0.24010865086802374,0.01784,158.65,0.03293540584093494,0.006365113731870713
3,0.33072666666666667,0.022320042130375875,0.5965,0.36933333333333335,0.033666666666666664,0.0005,0.24294997309171537,0.008153333333333332,169.45,0.053704988939330164,0.009782189766979216
4,0.33742,0.023364441418681894,0.5781666666666666,0.3836666666666667,0.037333333333333336,0.0008333333333333333,0.2442003975740037,0.006693333333333343,173.0,0.06483780779468717,0.010239917936622931
5,0.34885,0.02561288852276395,0.5466666666666666,0.4078333333333333,0.045,0.0005,0.2443463573182294,0.011430000000000004,180.25,0.07429236151326023,0.011225343328056775
6,0.35674,0.02658538401593731,0.5268333333333334,0.421,0.05133333333333333,0.0008333333333333333,0.24498658329146145,0.007889999999999994,183.35,0.09258625693812647,0.011651558270044146
7,0.36252333333333336,0.030013371483994574,0.513,0.429,0.057166666666666664,0.0008333333333333333,0.2447745232227838,0.005783333333333337,185.4,0.10493275351002565,0.01315394001894446
8,0.37118666666666666,0.03117156899243751,0.488,0.4505,0.059833333333333336,0.0016666666666666666,0.24187882702253197,0.008663333333333332,192.8,0.11443366316234369,0.01366154245755332
9,0.3816566666666667,0.03940889723509846,0.4703333333333333,0.4498333333333333,0.078,0.0018333333333333333,0.24400316831282223,0.010470000000000007,196.55,0.1314083143748656,0.017271710734652796
10,0.43332000000000004,0.04568442272298255,0.3401666666666667,0.536,0.12066666666666667,0.003166666666666667,0.22017324669169028,0.05166333333333334,209.55,0.14399251786309114,0.020022081045399303
11,0.48683000000000004,0.049186193446240534,0.26083333333333336,0.5143333333333333,0.21516666666666664,0.009666666666666667,0.21711437067807102,0.05351000000000002,221.25,0.23063298482081368,0.0215567997316487
12,0.5433966666666666,0.05344330099322676,0.16999999999999998,0.515,0.28683333333333333,0.028166666666666666,0.19372690406783286,0.05656666666666664,227.15,0.2700333998044381,0.02342255937671606
13,0.5953833333333334,0.05252221306739726,0.11916666666666667,0.4528333333333333,0.37666666666666665,0.05133333333333333,0.18003548738929503,0.0519866666666667,227.6,0.29834779753677176,0.023018874794495887
14,0.6490466666666668,0.05333797392091591,0.07533333333333334,0.38916666666666666,0.4368333333333333,0.09866666666666667,0.16427777804001437,0.053663333333333355,231.6,0.3074210922078904,0.023376397751978677
15,0.6916033333333333,0.04838714959174631,0.04583333333333333,0.32683333333333336,0.4923333333333333,0.135,0.14651884526121098,0.04255666666666667,227.9,0.31215568104750485,0.021206603322020803
16,0.7286500000000001,0.04853947269343505,0.032,0.26966666666666667,0.5041666666666667,0.19416666666666665,0.13689187354979843,0.037046666666666665,227.8,0.314287190867225,0.021273361864765056
17,0.7644766666666667,0.04442470349593517,0.020833333333333336,0.21866666666666665,0.49783333333333335,0.26266666666666666,0.12700370497523977,0.035826666666666646,224.65,0.3150721020557218,0.019469984751847982
18,0.7965533333333334,0.03669747413906216,0.011666666666666667,0.1705,0.49483333333333335,0.323,0.11449934811513995,0.032076666666666684,220.6,0.3156438413186157,0.016083377168386776
19,0.8211600000000001,0.03370556654878047,0.006166666666666667,0.13316666666666666,0.4878333333333333,0.37283333333333335,0.10368895766569235,0.024606666666666673,218.05,0.3160447517939474,0.014772115852550357
20,0.8466466666666668,0.0244410554801231,0.005666666666666667,0.1025,0.44350000000000006,0.44833333333333336,0.09701540995342692,0.025486666666666675,209.5,0.3162573594254422,0.010711764853098205
21,0.8589433333333334,0.020410687201728003,0.003166666666666667,0.08183333333333334,0.44366666666666665,0.4713333333333334,0.08942798690736872,0.012296666666666673,204.8,0.3162732808028509,0.00894537807390756
22,0.8728033333333334,0.020900695027476456,0.0011666666666666668,0.06633333333333333,0.42316666666666664,0.5093333333333334,0.08256511464443321,0.013859999999999989,203.4,0.31636966660699173,0.00916013347225212
23,0.8791433333333334,0.017192617414671114,0.001,0.0625,0.40366666666666673,0.5328333333333333,0.08087341297015818,0.0063399999999999455,196.45,0.31644274770071784,0.007534996805068854
24,0.8867966666666668,0.013940986314289349,0.0018333333333333333,0.05033333333333334,0.3935,0.5543333333333333,0.07702764429735881,0.007653333333333368,191.8,0.3164484434406894,0.006109906642140465
25,0.8896466666666667,0.010295018951156813,0.001,0.05183333333333333,0.38016666666666665,0.567,0.07652603265489881,0.0028499999999999637,187.5,0.3164189894422745,0.004511990992069303
26,0.8903400000000001,0.01219659429023944,0.0008333333333333333,0.04616666666666667,0.3905,0.5625,0.07474527234003384,0.0006933333333333513,189.8,0.3164488335601123,0.005345393129684393
27,0.8879766666666666,0.010884384973773644,0.0006666666666666668,0.05416666666666666,0.3836666666666667,0.5615,0.07729718920984144,-0.002363333333333312,195.0,0.31645452930008383,0.004770292040148486
28,0.8865433333333333,0.013956059280587567,0.0013333333333333335,0.05083333333333333,0.39533333333333337,0.5525,0.076817516836047,-0.0014333333333333476,191.5,0.31646061515947826,0.006116512660884479
29,0.8840666666666668,0.010020610339642388,0.0006666666666666668,0.058833333333333335,0.3908333333333333,0.5496666666666667,0.07927353933811247,-0.002476666666666655,191.95,0.31643646048213636,0.004391726115513616
