Step,Avg,Std,Share0,Share1,Share2,Share3,Gini,Velocity,PeerEvents,TaxSignal,CI95
0,0.288636,0.008232106643987307,0.7095666666666667,0.28513333333333335,0.0052,0.0001,0.21848354422418118,0.04712266666666669,105.63,0.0,0.0016134929022215121
1,0.30214066666666667,0.010936978512820576,0.6771333333333334,0.3040333333333333,0.0188,3.3333333333333335e-05,0.23289001274605353,0.013504666666666673,146.27,0.0,0.0021436477885128325
2,0.313856,0.010601216371350445,0.6404333333333334,0.33826666666666666,0.0212,0.0001,0.23759852394071757,0.011715333333333331,155.33,0.0,0.0020778384087846873
3,0.31803000000000003,0.012941853471131491,0.6308666666666667,0.3433333333333334,0.0255,0.00030000000000000003,0.24040959407019227,0.004174,162.18,0.0,0.002536603280341772
4,0.3204553333333333,0.011436308003055038,0.6231,0.3507333333333333,0.0259,0.0002666666666666667,0.24108553562620716,0.0024253333333333314,163.73,0.0,0.002241516368598787
5,0.3234653333333333,0.011617587889601485,0.6148333333333333,0.3571333333333333,0.027733333333333336,0.00030000000000000003,0.24216618773718662,0.0030100000000000066,166.33,0.0,0.002277047226361891
6,0.32417866666666667,0.011330678556168188,0.6145333333333334,0.35523333333333335,0.029900000000000003,0.0003333333333333333,0.24350653807660375,0.0007133333333333264,166.9,0.0,0.002220812997008965
7,0.32492133333333334,0.010165218222149889,0.6102666666666666,0.3613666666666667,0.0281,0.0002666666666666667,0.24255958493366275,0.0007426666666666742,168.34,0.0,0.001992382771541378
8,0.3252746666666667,0.010827745380903192,0.6108,0.359,0.029933333333333336,0.0002666666666666667,0.24356214103827944,0.0003533333333333322,170.39,0.0,0.0021222380946570255
9,0.32683933333333337,0.011338779024406012,0.6045666666666666,0.3661666666666667,0.0292,6.666666666666667e-05,0.24265094123340844,0.0015646666666666608,171.01,0.0,0.0022224006887835786
10,0.3625246666666667,0.012063169517598834,0.5026666666666667,0.4500333333333333,0.046933333333333334,0.00036666666666666667,0.24091428129076303,0.03568533333333334,184.45,0.0,0.0023643812254493714
11,0.3827673333333334,0.014539119396203455,0.46009999999999995,0.4665666666666667,0.07213333333333334,0.0012000000000000001,0.24384843856058652,0.020242666666666676,198.53,0.0,0.002849667401655877
12,0.39870200000000006,0.014596128063059098,0.42263333333333336,0.48763333333333336,0.08806666666666667,0.0016666666666666668,0.2407517150614624,0.015934666666666673,204.82,0.0,0.0028608411003595833
13,0.40849466666666673,0.01624794191922625,0.40113333333333334,0.49766666666666665,0.09893333333333333,0.002266666666666667,0.23871684191885933,0.009792666666666667,207.41,0.0,0.0031845966161683447
14,0.4178906666666667,0.01879548509436934,0.38233333333333336,0.5041,0.10996666666666666,0.0036000000000000003,0.2373663612739717,0.009396,209.77,0.0,0.0036839150784963907
15,0.4198140000000001,0.01910470951040587,0.38043333333333335,0.5011666666666666,0.1148,0.0036000000000000003,0.23836097246702065,0.001923333333333347,210.96,0.0,0.003744523064039551
16,0.4241786666666667,0.020260248141864442,0.3691333333333333,0.5093,0.11756666666666665,0.004,0.23561878647705067,0.004364666666666653,210.98,0.0,0.003971008635805431
17,0.4256293333333334,0.02294234479594994,0.3677,0.5068,0.12186666666666668,0.0036333333333333335,0.2359313798474016,0.0014506666666666739,212.12,0.0,0.004496699580006189
