Step,AverageSustainability,ShareState0,ShareState1,ShareState2,ShareState3,GiniScore,AdoptionVelocity,PeerInfluenceEvents,TaxSignal,Run
0,0.30673333333333336,0.6566666666666666,0.33,0.013333333333333334,0.0,0.23251539520394165,0.062066666666666714,126,0.004580146164112329,0
1,0.3174,0.6366666666666667,0.3333333333333333,0.03,0.0,0.24431211930266794,0.010666666666666658,163,0.033713732802407005,0
2,0.35126666666666667,0.53,0.43333333333333335,0.03666666666666667,0.0,0.24090023407351224,0.033866666666666656,180,0.040178366497222076,0
3,0.3825333333333334,0.46,0.4666666666666667,0.07333333333333333,0.0,0.24454746136865396,0.03126666666666672,184,0.09300765566171622,0
4,0.4020000000000001,0.41,0.5033333333333333,0.08333333333333333,0.0033333333333333335,0.2374737423991161,0.019466666666666688,204,0.14250624375631799,0
5,0.41666666666666674,0.37666666666666665,0.52,0.1,0.0033333333333333335,0.2330666666666671,0.014666666666666661,209,0.17960629803373554,0
6,0.4272000000000001,0.36333333333333334,0.51,0.12333333333333334,0.0033333333333333335,0.23666146483562264,0.010533333333333339,205,0.20266089689683622,0
7,0.43166666666666664,0.33666666666666667,0.5466666666666666,0.11666666666666667,0.0,0.2220514800514805,0.004466666666666563,184,0.21121548828514874,0
8,0.4377333333333334,0.31333333333333335,0.5733333333333334,0.11333333333333333,0.0,0.2117352015433042,0.006066666666666776,210,0.22693605876912123,0
9,0.4770666666666667,0.24,0.59,0.16333333333333333,0.006666666666666667,0.2005692193031492,0.039333333333333276,215,0.23905232086325298,0
10,0.5255333333333334,0.19666666666666666,0.5066666666666667,0.29,0.006666666666666667,0.2041299843545186,0.04846666666666671,231,0.26727095364131614,0
11,0.5849333333333334,0.14,0.44333333333333336,0.37,0.04666666666666667,0.19483093989818429,0.05940000000000001,219,0.2779337469195543,0
12,0.6474000000000001,0.07666666666666666,0.3933333333333333,0.43,0.1,0.17112243847183617,0.06246666666666667,231,0.2870678235176741,0
