Step,Avg,Std,Share0,Share1,Share2,Share3,Gini,Velocity,PeerEvents,TaxSignal,CI95
0,0.28918533333333335,0.008128240277650724,0.7077666666666667,0.2869,0.005233333333333333,0.0001,0.21890282971216846,0.04767200000000002,106.12,0.004101063347705272,0.0015931350944195417
1,0.30593933333333334,0.011060823961692928,0.6654666666666667,0.3146333333333333,0.019866666666666668,3.3333333333333335e-05,0.23486672354273433,0.016754,148.76,0.02173747491036265,0.0021679214964918135
2,0.3207046666666667,0.012173018516291679,0.6204666666666667,0.35516666666666663,0.02426666666666667,0.0001,0.23968707411720228,0.014765333333333335,160.06,0.032260747857977994,0.002385911629193169
3,0.330602,0.015856396684774128,0.5949333333333333,0.3728666666666667,0.0319,0.00030000000000000003,0.24321395722063469,0.009897333333333334,170.33,0.04792016905690621,0.003107853750215729
4,0.3384513333333334,0.016886658159431387,0.5737,0.389,0.03676666666666667,0.0005333333333333334,0.24471771061145806,0.00784933333333334,175.41,0.05968791372366253,0.0033097849992485516
5,0.347016,0.01864684402034811,0.5501666666666667,0.4071333333333333,0.042199999999999994,0.0005,0.244807822982226,0.008564666666666668,180.59,0.07021195283365501,0.0036547814279882297
6,0.35333666666666663,0.019377794863767853,0.5352,0.4156666666666667,0.048499999999999995,0.0006333333333333334,0.24609308993683976,0.006320666666666668,182.7,0.08368286241083499,0.0037980477932984995
7,0.3597093333333333,0.021921481185671228,0.5182,0.4282,0.05286666666666667,0.0007333333333333333,0.24521950697197137,0.006372666666666669,186.71,0.09268490875458585,0.004296610312391561
8,0.365696,0.02366990601437863,0.5025666666666667,0.4393333333333333,0.0572,0.0009000000000000001,0.2442954750649303,0.005986666666666667,190.55,0.10380883018915801,0.004639301578818212
9,0.3751566666666667,0.0281430263592943,0.4792,0.45399999999999996,0.06583333333333333,0.0009666666666666668,0.24256456674761645,0.009460666666666671,194.58,0.1139862790763683,0.005516033166421683
10,0.4215433333333333,0.03157805198240333,0.36656666666666665,0.5226666666666666,0.1085,0.002266666666666667,0.2281399215136344,0.04638666666666667,207.25,0.12976062588458714,0.006189298188551052
11,0.47104133333333337,0.03681636509685613,0.2798,0.5299666666666667,0.18243333333333334,0.0078000000000000005,0.21940053102595652,0.049498000000000014,217.91,0.2045016584157657,0.007216007558983802
12,0.5231733333333334,0.04013145850627198,0.19776666666666667,0.5221666666666667,0.2615,0.018566666666666665,0.20254623457498722,0.052132000000000005,223.73,0.24885794821117585,0.007865765867229308
13,0.5713773333333334,0.042908566397144264,0.13933333333333334,0.48590000000000005,0.3373,0.03746666666666667,0.18737686201951245,0.048204,226.61,0.274895676816213,0.008410079013840275
14,0.6205180000000001,0.04496488002780284,0.09336666666666665,0.42876666666666663,0.4109333333333333,0.06693333333333333,0.17139660904773737,0.04914066666666668,228.64,0.2858164398500384,0.008813116485449357
15,0.6623166666666667,0.04578501107411943,0.06526666666666667,0.36883333333333335,0.4593333333333333,0.10656666666666666,0.15910320019342755,0.04179866666666668,229.83,0.2911808639992136,0.008973862170527409
16,0.702206,0.044805015246574716,0.04106666666666667,0.31353333333333333,0.4917,0.1537,0.14498733331929936,0.03988933333333333,228.59,0.29342144044853863,0.008781782988328645
17,0.7397800000000001,0.04304694433274079,0.0275,0.25196666666666667,0.5101666666666667,0.21036666666666665,0.13309972763280553,0.03757400000000002,228.81,0.2949217506550676,0.008437201089217194
18,0.7716853333333334,0.04029248740663873,0.017766666666666667,0.20370000000000002,0.5102333333333333,0.26830000000000004,0.12221817017904169,0.031905333333333334,224.69,0.29559363914947057,0.007897327531701191
19,0.7980406666666667,0.03602726227367307,0.0118,0.1655666666666667,0.4988,0.3238333333333333,0.11349662353541197,0.02635533333333332,222.42,0.29604090134054156,0.00706134340563992
20,0.8216386666666667,0.03369590846619977,0.007533333333333334,0.13153333333333334,0.4844,0.3765333333333334,0.10404352471230385,0.023598000000000004,218.14,0.29628200482240613,0.006604398059375155
21,0.8407386666666667,0.029359407878505165,0.004533333333333334,0.10949999999999999,0.4585666666666667,0.4274,0.09748131811893562,0.019100000000000006,212.5,0.29644112820283536,0.005754443944187012
22,0.8546780000000002,0.025045474340900768,0.0035666666666666668,0.0866,0.4507666666666667,0.4590666666666667,0.09063283253446727,0.013939333333333324,209.16,0.2965494146169741,0.00490891297081655
23,0.8645033333333335,0.020376962355494976,0.001966666666666667,0.07996666666666667,0.42700000000000005,0.4910666666666667,0.08772374207512566,0.009825333333333346,204.64,0.2965831749500221,0.003993884621677015
24,0.8701513333333334,0.015580285839683426,0.0021666666666666666,0.06823333333333333,0.4272666666666667,0.5023333333333333,0.08444321075216543,0.005647999999999994,201.2,0.2966379043197167,0.0030537360245779513
25,0.8732933333333334,0.014947960609222207,0.0017333333333333335,0.06503333333333333,0.4218333333333334,0.5114,0.0829466449150836,0.003141999999999996,200.22,0.29663071668089536,0.0029298002794075524
26,0.8764333333333334,0.013918555790246158,0.0018333333333333335,0.06233333333333333,0.41333333333333333,0.5225,0.08195073900177857,0.0031400000000000074,199.48,0.2966461515694982,0.0027280369348882468
27,0.8768213333333335,0.013957083104972241,0.0012333333333333335,0.06166666666666667,0.4152666666666666,0.5218333333333333,0.08138024610242761,0.0003879999999999806,199.05,0.29664243092330356,0.0027355882885745594
28,0.8781893333333335,0.013721719518048235,0.0015000000000000002,0.060733333333333334,0.4102,0.5275666666666666,0.08102462471775945,0.0013680000000000137,197.64,0.29666294006693367,0.0026894570255374542
