AverageSustainability,Scenario
0.13114833449114194,economic
0.4041580721824808,economic
0.6648529420006893,economic
0.8131636249550889,economic
0.8856446002055043,economic
0.9209424633261201,economic
0.94240396251116,economic
0.9560969949534198,economic
0.9662447461802383,economic
0.9741332474283538,economic
0.979921684766395,economic
0.9841397607702308,economic
0.9874925659278543,economic
0.9897301241337145,economic
0.9915853001881684,economic
0.992781976311733,economic
0.9937179797669745,economic
0.9945515373506616,economic
0.9953850949343487,economic
0.9962186525180359,economic
0.9970522101017231,economic
0.9978857676854102,economic
0.9984480605888089,economic
0.998515884110526,economic
0.9985837076322432,economic
0.9986515311539605,economic
0.9987193546756779,economic
0.9987871781973949,economic
0.9988550017191122,economic
0.9989228252408294,economic
0.9989906487625465,economic
0.9990584722842638,economic
0.9991262958059811,economic
0.9991941193276983,economic
0.9992619428494155,economic
0.9993297663711327,economic
0.99939758989285,economic
0.9994654134145671,economic
0.9995332369362844,economic
0.9996010604580016,economic
0.9996688839797188,economic
0.999736707501436,economic
0.9998045310231533,economic
0.9998723545448704,economic
0.9999401780665876,economic
1.0,economic
1.0,economic
1.0,economic
1.0,economic
1.0,economic
