Step,Avg,Std,Share0,Share1,Share2,Share3,Gini,Velocity,PeerEvents,TaxSignal,CI95
0,0.28918533333333335,0.008128240277650724,0.7077666666666667,0.2869,0.005233333333333333,0.0001,0.21890282971216846,0.04767200000000002,106.12,0.004101063347705272,0.0015931350944195417
1,0.30593933333333334,0.011060823961692928,0.6654666666666667,0.3146333333333333,0.019866666666666668,3.3333333333333335e-05,0.23486672354273433,0.016754,148.76,0.02173747491036265,0.0021679214964918135
2,0.3207046666666667,0.012173018516291679,0.6204666666666667,0.35516666666666663,0.02426666666666667,0.0001,0.23968707411720228,0.014765333333333335,160.06,0.032260747857977994,0.002385911629193169
3,0.330602,0.015856396684774128,0.5949333333333333,0.3728666666666667,0.0319,0.00030000000000000003,0.24321395722063469,0.009897333333333334,170.33,0.04792016905690621,0.003107853750215729
4,0.3384513333333334,0.016886658159431387,0.5737,0.389,0.03676666666666667,0.0005333333333333334,0.24471771061145806,0.00784933333333334,175.41,0.05968791372366253,0.0033097849992485516
5,0.347016,0.01864684402034811,0.5501666666666667,0.4071333333333333,0.042199999999999994,0.0005,0.244807822982226,0.008564666666666668,180.59,0.07021195283365501,0.0036547814279882297
6,0.35333666666666663,0.019377794863767853,0.5352,0.4156666666666667,0.048499999999999995,0.0006333333333333334,0.24609308993683976,0.006320666666666668,182.7,0.08368286241083499,0.0037980477932984995
7,0.3597093333333333,0.021921481185671228,0.5182,0.4282,0.05286666666666667,0.0007333333333333333,0.24521950697197137,0.006372666666666669,186.71,0.09268490875458585,0.004296610312391561
8,0.365696,0.02366990601437863,0.5025666666666667,0.4393333333333333,0.0572,0.0009000000000000001,0.2442954750649303,0.005986666666666667,190.55,0.10380883018915801,0.004639301578818212
9,0.3751566666666667,0.0281430263592943,0.4792,0.45399999999999996,0.06583333333333333,0.0009666666666666668,0.24256456674761645,0.009460666666666671,194.58,0.1139862790763683,0.005516033166421683
10,0.38350866666666666,0.030358020301610538,0.4590666666666667,0.4660333333333333,0.07373333333333333,0.0011666666666666668,0.24112708723498433,0.008352000000000004,196.45,0.12976062588458714,0.005950171979115666
11,0.3921553333333334,0.03534673153635327,0.44189999999999996,0.47136666666666666,0.08473333333333333,0.002,0.2407489129248127,0.00864666666666667,202.15,0.14324360041161177,0.00692795938112524
12,0.40187200000000006,0.03860552890975328,0.4194333333333333,0.48333333333333334,0.09506666666666666,0.0021666666666666666,0.23798901613563114,0.009716666666666665,202.34,0.1544914109082593,0.007566683666311642
13,0.4111613333333334,0.044440327263844726,0.3997,0.4921333333333333,0.10460000000000001,0.0035666666666666668,0.2350568554032738,0.009289333333333327,206.82,0.16893939523433196,0.008710304143713567
14,0.423588,0.05082886705996237,0.3765333333333334,0.49613333333333337,0.12326666666666666,0.004066666666666666,0.23254847395517764,0.01242666666666668,207.89,0.18031188398764136,0.009962457943752624
15,0.4327500000000001,0.05619306336524438,0.3596666666666667,0.4996333333333333,0.135,0.0057,0.2299785585545102,0.009162000000000002,210.1,0.19280642855502125,0.011013840419587898
16,0.44526066666666675,0.06216564317587538,0.3367,0.5043333333333334,0.15096666666666667,0.008,0.22602463382285504,0.01251066666666667,211.3,0.20109500708788614,0.012184466062471574
17,0.4586446666666667,0.06681096978753277,0.31306666666666666,0.5070333333333333,0.16993333333333333,0.009966666666666667,0.22207319909266254,0.013384000000000002,214.52,0.21189691029766777,0.013094950078356423
18,0.4703033333333334,0.0702503270538896,0.29413333333333336,0.5068666666666667,0.18616666666666667,0.012833333333333334,0.21903882434383737,0.011658666666666666,216.07,0.22244708566153218,0.013769064102562362
19,0.48255066666666674,0.07368847072537957,0.2749,0.5047999999999999,0.2051333333333333,0.015166666666666667,0.21561744600146715,0.01224733333333334,216.88,0.2308954840984037,0.014442940262174395
20,0.4958386666666667,0.07790435425073071,0.25626666666666664,0.4989,0.2259,0.018933333333333333,0.21211712091591672,0.013287999999999998,219.1,0.2381768646140247,0.015269253433143217
21,0.5108733333333334,0.08196060234466523,0.23496666666666666,0.49333333333333335,0.24766666666666665,0.024033333333333334,0.2073160724187083,0.015034666666666667,222.04,0.24499125402217803,0.016064278059554384
22,0.5244786666666666,0.086001691513655,0.21666666666666667,0.48833333333333334,0.2637333333333334,0.03126666666666667,0.2033377920705077,0.013605333333333343,223.89,0.25265224932672636,0.01685633153667638
23,0.537652,0.08948500546163661,0.1998666666666667,0.4797,0.2845666666666667,0.03586666666666667,0.1981492433725001,0.01317333333333333,223.51,0.2585105480226926,0.017539061070480776
24,0.5500120000000001,0.09105540025254691,0.18586666666666665,0.46990000000000004,0.30156666666666665,0.042666666666666665,0.19520664531718118,0.012359999999999998,224.14,0.26356413452985306,0.017846858449499195
25,0.5619486666666668,0.0920485012713815,0.16973333333333332,0.46443333333333336,0.3184,0.047433333333333334,0.19030341243416868,0.011936666666666682,224.57,0.2670510887861867,0.018041506249190774
26,0.5745993333333334,0.0959428133519885,0.15896666666666667,0.4489666666666667,0.33520000000000005,0.05686666666666666,0.18704620231994945,0.012650666666666664,226.77,0.27135404241693967,0.018804791416989743
27,0.5876786666666667,0.09527490351349706,0.14226666666666665,0.4424,0.3514,0.06393333333333334,0.18145612350675167,0.013079333333333326,226.96,0.27359477761740225,0.01867388108864542
28,0.5999220000000001,0.0954112441192185,0.1324,0.4256333333333333,0.36973333333333336,0.07223333333333333,0.17857979084908734,0.012243333333333335,227.56,0.27773374530479544,0.018700603847366826
