Step,Avg,Std,Share0,Share1,Share2,Share3,Gini,Velocity,PeerEvents,TaxSignal,CI95
0,0.288636,0.008232106643987307,0.7095666666666667,0.28513333333333335,0.0052,0.0001,0.21848354422418118,0.04712266666666669,105.63,0.0,0.0016134929022215121
1,0.30214066666666667,0.010936978512820576,0.6771333333333334,0.3040333333333333,0.0188,3.3333333333333335e-05,0.23289001274605353,0.013504666666666673,146.27,0.0,0.0021436477885128325
2,0.313856,0.010601216371350445,0.6404333333333334,0.33826666666666666,0.0212,0.0001,0.23759852394071757,0.011715333333333331,155.33,0.0,0.0020778384087846873
3,0.31803000000000003,0.012941853471131491,0.6308666666666667,0.3433333333333334,0.0255,0.00030000000000000003,0.24040959407019227,0.004174,162.18,0.0,0.002536603280341772
4,0.3204553333333333,0.011436308003055038,0.6231,0.3507333333333333,0.0259,0.0002666666666666667,0.24108553562620716,0.0024253333333333314,163.73,0.0,0.002241516368598787
5,0.3234653333333333,0.011617587889601485,0.6148333333333333,0.3571333333333333,0.027733333333333336,0.00030000000000000003,0.24216618773718662,0.0030100000000000066,166.33,0.0,0.002277047226361891
6,0.32417866666666667,0.011330678556168188,0.6145333333333334,0.35523333333333335,0.029900000000000003,0.0003333333333333333,0.24350653807660375,0.0007133333333333264,166.9,0.0,0.002220812997008965
7,0.32492133333333334,0.010165218222149889,0.6102666666666666,0.3613666666666667,0.0281,0.0002666666666666667,0.24255958493366275,0.0007426666666666742,168.34,0.0,0.001992382771541378
8,0.3252746666666667,0.010827745380903192,0.6108,0.359,0.029933333333333336,0.0002666666666666667,0.24356214103827944,0.0003533333333333322,170.39,0.0,0.0021222380946570255
9,0.32683933333333337,0.011338779024406012,0.6045666666666666,0.3661666666666667,0.0292,6.666666666666667e-05,0.24265094123340844,0.0015646666666666608,171.01,0.0,0.0022224006887835786
10,0.32739333333333337,0.011565351325864885,0.6025,0.3686,0.028666666666666667,0.00023333333333333333,0.2424002205093744,0.0005540000000000011,169.8,0.0,0.0022668088598695175
11,0.32581066666666664,0.012203385742039927,0.6083666666666666,0.36210000000000003,0.029300000000000003,0.00023333333333333333,0.24276573165380835,-0.001582666666666666,172.09,0.0,0.0023918636054398256
12,0.3272586666666667,0.011080820448783647,0.6029,0.3682,0.028733333333333336,0.00016666666666666666,0.2424460468739317,0.001448000000000007,171.37,0.0,0.0021718408079615947
13,0.32510133333333335,0.012331647823674591,0.6095666666666666,0.36219999999999997,0.027933333333333334,0.00030000000000000003,0.24204372151204537,-0.002157333333333342,171.84,0.0,0.0024170029734402196
14,0.32740400000000003,0.011932077958157641,0.6035666666666667,0.3663,0.029966666666666666,0.00016666666666666666,0.24304963829623516,0.0023026666666666686,171.95,0.0,0.0023386872797988975
15,0.3266146666666667,0.012094552966017866,0.6066333333333334,0.3627666666666666,0.030433333333333333,0.00016666666666666666,0.24337975960069103,-0.0007893333333333335,171.84,0.0,0.002370532381339502
16,0.3276406666666667,0.012765806935386419,0.603,0.3667333333333333,0.029966666666666666,0.00030000000000000003,0.2430484327024634,0.0010260000000000052,171.87,0.0,0.002502098159335738
17,0.32870933333333335,0.012713475516482227,0.5988666666666667,0.3714,0.029533333333333335,0.0002,0.2425053838892473,0.0010686666666666594,174.07,0.0,0.0024918412012305165
